iteration	likelihood	prior	σ²	 m 	 α 
100	-58.15307040472247	-20.54047879350174	110.03081111615904	20.092939046239984	6.203484982798004
200	-44.378760289022544	-19.669637615415592	101.32239933529743	20.092939046239984	6.203484982798004
300	-40.02764107124332	-19.49568635777109	99.58288675885224	20.092939046239984	6.203484982798004
400	-83.68932232719166	-22.23138573551148	126.93988053625637	20.092939046239984	6.203484982798004
500	-127.58776861927184	-22.76140081643128	132.24003134545464	20.092939046239984	6.203484982798004
600	-29.075577581135313	-19.228629837582588	96.91232155696753	20.092939046239984	6.203484982798004
700	-45.0568895606244	-20.10997367967191	105.72575997786087	20.092939046239984	6.203484982798004
800	-29.768101901579374	-20.289284013870482	107.5188633198466	20.092939046239984	6.203484982798004
900	-1.1889210896641291	-18.373576988651322	88.36179306765503	20.092939046239984	6.203484982798004
1000	-16.009861013083597	-18.167190861776074	86.29793179890258	20.092939046239984	6.203484982798004
1100	-1.2041614992756942	-17.472007309191582	79.34609627305767	20.092939046239984	6.203484982798004
1200	4.412648547051431	-18.735301418859738	91.97903736973927	20.092939046239984	6.203484982798004
1300	-75.3376867034066	-20.838917926756903	113.01520244871092	20.092939046239984	6.203484982798004
1400	18.257055591851024	-17.216478513636876	76.7908083175106	20.092939046239984	6.203484982798004
1500	-90.40414374175467	-24.272032834001735	147.34635152115908	20.092939046239984	6.203484982798004
1600	-71.96622189737006	-21.24527286186262	117.07875179976791	20.092939046239984	6.203484982798004
1700	-14.050464568523411	-19.449553643057982	99.1215596117213	20.092939046239984	6.203484982798004
1800	61.777200533352975	-16.17887253989116	66.41474858005287	20.092939046239984	6.203484982798004
1900	2.2838471076708484	-18.343042487877145	88.05644805991248	20.092939046239984	6.203484982798004
2000	-48.661928116315785	-19.919942711171792	103.82545029285902	20.092939046239984	6.203484982798004
2100	-85.55404798364597	-23.120568409315762	135.83170727429874	20.092939046239984	6.203484982798004
2200	-38.35304854998836	-20.190988659115607	106.5359097722975	20.092939046239984	6.203484982798004
2300	-2.621286016154275	-18.145370502912456	86.07972821026567	20.092939046239984	6.203484982798004
2400	-3.22692019245157	-20.147921018377325	106.10523336491457	20.092939046239984	6.203484982798004
2500	-5.373351142474609	-19.991765415585498	104.54367733699563	20.092939046239984	6.203484982798004
2600	29.75126476214304	-17.059892473456472	75.22494791570541	20.092939046239984	6.203484982798004
2700	-24.09077629451365	-20.135445169548863	105.98047487662899	20.092939046239984	6.203484982798004
2800	-18.13230563873619	-20.614978231605466	110.77580549719495	20.092939046239984	6.203484982798004
2900	24.72262502335406	-18.15237585524094	86.14978173354984	20.092939046239984	6.203484982798004
3000	20.231470097723726	-18.037092452520387	84.99694770634432	20.092939046239984	6.203484982798004
3100	-30.16222903135256	-20.561019099331542	110.23621417445597	20.092939046239984	6.203484982798004
3200	40.111407214220016	-17.703010308179806	81.65612626293795	20.092939046239984	6.203484982798004
3300	6.846905377454992	-18.643174144104275	91.05776462218252	20.092939046239984	6.203484982798004
3400	19.432599107734994	-18.220806642783632	86.83408960897577	20.092939046239984	6.203484982798004
3500	11.827207719400912	-19.49091135845291	99.53513676566857	20.092939046239984	6.203484982798004
3600	37.25947491697808	-17.976050230772852	84.38652548886792	20.092939046239984	6.203484982798004
3700	20.096070901508508	-18.75239595452187	92.14998272635843	20.092939046239984	6.203484982798004
3800	-4.72347075716007	-19.876986038821137	103.39588356935104	20.092939046239984	6.203484982798004
3900	-110.34919421936229	-29.457800021223886	199.20402339337883	20.092939046239984	6.203484982798004
4000	-61.053737308245644	-24.25626982290305	147.18872141017061	20.092939046239984	6.203484982798004
4100	53.445260287080785	-17.420795819733417	78.83398137847404	20.092939046239984	6.203484982798004
4200	8.853822850842754	-20.282659957110823	107.45262275224813	20.092939046239984	6.203484982798004
4300	2.863698844114101	-19.994565955419255	104.57168273533249	20.092939046239984	6.203484982798004
4400	17.729180855795335	-19.432858924367693	98.95461242481687	20.092939046239984	6.203484982798004
4500	48.61479366990835	-17.877844094777984	83.40446412891991	20.092939046239984	6.203484982798004
4600	-20.957895479707503	-22.777389267201915	132.399915853159	20.092939046239984	6.203484982798004
4700	-13.835279808737399	-21.59406932074785	120.56671638861809	20.092939046239984	6.203484982798004
4800	5.6417888107608976	-21.650040450488966	121.12642768602917	20.092939046239984	6.203484982798004
4900	6.172599636073028	-21.146825328327367	116.09427646441286	20.092939046239984	6.203484982798004
5000	12.35713747610664	-21.28287871831105	117.45481036424964	20.092939046239984	6.203484982798004
5100	29.213076416099707	-19.543135167524042	100.05737485637918	20.092939046239984	6.203484982798004
5200	23.69472245992097	-20.590699488351827	110.53301806465677	20.092939046239984	6.203484982798004
5300	-20.125181125152945	-24.66476671047178	151.2736902858565	20.092939046239984	6.203484982798004
5400	43.030570980916465	-19.1083512779337	95.70953596047548	20.092939046239984	6.203484982798004
5500	64.85312917343938	-18.66966749154977	91.32269809663582	20.092939046239984	6.203484982798004
5600	18.328449270509275	-21.195230418978586	116.57832737092431	20.092939046239984	6.203484982798004
5700	15.36858963495676	-23.398421435244458	138.61023753358276	20.092939046239984	6.203484982798004
5800	85.58103166825606	-19.13367117934617	95.96273497459984	20.092939046239984	6.203484982798004
