iteration	likelihood	prior	σ²	 m 	 α 
100	15654.496542329747	-8.241997081808517	7.525232594215825	4.492204376328264	1.3249810577202614
200	15654.60803222392	-8.234709339956746	7.4523551756981785	4.492204376328264	1.3249810577202614
300	15654.621982796978	-8.233716976695016	7.442431543080932	4.492204376328264	1.3249810577202614
400	15653.80731096992	-8.274979222382214	7.855053999952937	4.492204376328264	1.3249810577202614
500	15654.912633051523	-8.196863490500675	7.073896681137422	4.492204376328264	1.3249810577202614
600	15654.580879619276	-8.152866998917455	6.633931765305248	4.492204376328264	1.3249810577202614
700	15654.176184436768	-8.134413461193546	6.44939638806606	4.492204376328264	1.3249810577202614
800	15654.440047748438	-8.145499220587945	6.560253982010035	4.492204376328264	1.3249810577202614
900	15654.66519276636	-8.230495524256229	7.410217018692774	4.492204376328264	1.3249810577202614
1000	15654.496942911039	-8.241972611178278	7.524987887913374	4.492204376328264	1.3249810577202614
1100	15654.91345016383	-8.189909050726886	7.004352283399414	4.492204376328264	1.3249810577202614
1200	15653.644659213553	-8.117503318310549	6.2802949592359605	4.492204376328264	1.3249810577202614
1300	15654.31284437771	-8.252291745331815	7.6281792294487	4.492204376328264	1.3249810577202614
1400	15654.437551641095	-8.245492017289509	7.560181949025651	4.492204376328264	1.3249810577202614
1500	15654.902470252247	-8.184921097236998	6.954472748500347	4.492204376328264	1.3249810577202614
1600	15652.627045275318	-8.094164898710405	6.046910763234303	4.492204376328264	1.3249810577202614
1700	15654.581109686087	-8.236567450496862	7.470936281098724	4.492204376328264	1.3249810577202614
1800	15654.82616357004	-8.1719129642603	6.824391418733111	4.492204376328264	1.3249810577202614
1900	15654.903032780538	-8.201158055979228	7.116842335922221	4.492204376328264	1.3249810577202614
2000	15654.693713168535	-8.16010587825617	6.706320558691527	4.492204376328264	1.3249810577202614
2100	15654.64581413301	-8.156836256517028	6.673624341300378	4.492204376328264	1.3249810577202614
2200	15654.870937467213	-8.208526796587293	7.190529742002914	4.492204376328264	1.3249810577202614
2300	15653.738992469807	-8.120159276030732	6.306854536437153	4.492204376328264	1.3249810577202614
2400	15652.449183846027	-8.090772633825024	6.012988114379997	4.492204376328264	1.3249810577202614
2500	15653.743242510867	-8.12028176067551	6.308079382884885	4.492204376328264	1.3249810577202614
2600	15654.068618719491	-8.13054041002618	6.410665876391879	4.492204376328264	1.3249810577202614
2700	15654.913185828176	-8.189699406276464	7.002255838894708	4.492204376328264	1.3249810577202614
2800	15654.55968514785	-8.151662867600074	6.621890452130951	4.492204376328264	1.3249810577202614
2900	15653.816121516047	-8.122422875932692	6.329490535457327	4.492204376328264	1.3249810577202614
3000	15654.517413070706	-8.14937205908848	6.598982367015539	4.492204376328264	1.3249810577202614
3100	15654.899408746061	-8.202279509540265	7.128056871533579	4.492204376328264	1.3249810577202614
3200	15654.91521345676	-8.192160779510724	7.026869571238183	4.492204376328264	1.3249810577202614
3300	15654.647472074741	-8.156943981195347	6.6747015880845	4.492204376328264	1.3249810577202614
3400	15654.218961342624	-8.136040867676362	6.465670452894878	4.492204376328264	1.3249810577202614
3500	15654.017067031044	-8.266268911930956	7.767950895440953	4.492204376328264	1.3249810577202614
3600	15654.849368440133	-8.174819688161245	6.853458657743722	4.492204376328264	1.3249810577202614
3700	15654.449293940264	-8.145943034121814	6.564692117349583	4.492204376328264	1.3249810577202614
3800	15653.629704239518	-8.281816140446043	7.923423180591845	4.492204376328264	1.3249810577202614
3900	15654.005004385597	-8.266792115807622	7.773182934207643	4.492204376328264	1.3249810577202614
4000	15653.50432301001	-8.286405278874238	7.969314564873783	4.492204376328264	1.3249810577202614
4100	15654.618100169155	-8.233995313534813	7.445214911479563	4.492204376328264	1.3249810577202614
4200	15653.701484231986	-8.279104301299178	7.896304789123411	4.492204376328264	1.3249810577202614
4300	15654.86582919341	-8.209404559109592	7.199307367227617	4.492204376328264	1.3249810577202614
4400	15654.768598311575	-8.166086948248017	6.76613125861196	4.492204376328264	1.3249810577202614
4500	15654.65208085076	-8.157245323232509	6.677715008456872	4.492204376328264	1.3249810577202614
4600	15653.588687796191	-8.283337187954007	7.938633655671884	4.492204376328264	1.3249810577202614
4700	15654.910878595068	-8.188244945506757	6.987711231199464	4.492204376328264	1.3249810577202614
4800	15652.903500431861	-8.306396778744466	8.169229563576645	4.492204376328264	1.3249810577202614
4900	15654.7677379397	-8.166010028610968	6.765362062241701	4.492204376328264	1.3249810577202614
5000	15654.500152054354	-8.24177618563529	7.5230236324851285	4.492204376328264	1.3249810577202614
5100	15654.880269713505	-8.20678557602286	7.173117536361029	4.492204376328264	1.3249810577202614
5200	15654.914381031222	-8.195346932628098	7.058731102413345	4.492204376328264	1.3249810577202614
5300	15654.63768152907	-8.232573790372514	7.430999679857467	4.492204376328264	1.3249810577202614
5400	15654.803806860356	-8.217773549740857	7.282997273540971	4.492204376328264	1.3249810577202614
5500	15654.398512848504	-8.143561562251167	6.540877398644021	4.492204376328264	1.3249810577202614
5600	15653.298807490775	-8.108634474339063	6.19160651952305	4.492204376328264	1.3249810577202614
5700	15654.91118110255	-8.188409413259805	6.989355908730461	4.492204376328264	1.3249810577202614
5800	15654.252059751303	-8.137338595984106	6.478647735973702	4.492204376328264	1.3249810577202614
5900	15654.910993053454	-8.197872066971476	7.083982445847384	4.492204376328264	1.3249810577202614
6000	15654.233539683304	-8.256290354999496	7.6681653261277205	4.492204376328264	1.3249810577202614
6100	15654.243975518002	-8.255776423134241	7.663026007475136	4.492204376328264	1.3249810577202614
6200	15654.573373199306	-8.237088533517	7.4761471113028435	4.492204376328264	1.3249810577202614
6300	15653.401957097964	-8.29002743323531	8.005536108485915	4.492204376328264	1.3249810577202614
6400	15654.90035498387	-8.184283935148862	6.94810112762162	4.492204376328264	1.3249810577202614
6500	15654.397122159151	-8.247775419275683	7.583015968889765	4.492204376328264	1.3249810577202614
6600	15654.576510541357	-8.152615481185546	6.631416587988318	4.492204376328264	1.3249810577202614
6700	15654.7938704041	-8.218876399784786	7.294025773980623	4.492204376328264	1.3249810577202614
6800	15654.15545268042	-8.133643611998773	6.441697896120242	4.492204376328264	1.3249810577202614
6900	15654.54354937717	-8.150771904098413	6.612980817116633	4.492204376328264	1.3249810577202614
7000	15654.449311476508	-8.244811623648681	7.55337801261932	4.492204376328264	1.3249810577202614
7100	15653.371563088931	-8.29108323672517	8.016094143383869	4.492204376328264	1.3249810577202614
7200	15654.914099850062	-8.19565113352994	7.061773111431802	4.492204376328264	1.3249810577202614
7300	15654.249789746278	-8.255488557527405	7.660147351406544	4.492204376328264	1.3249810577202614
7400	15654.460444436585	-8.244160307534775	7.54686485148033	4.492204376328264	1.3249810577202614
7500	15653.82899796187	-8.12280950948346	6.333356870967205	4.492204376328264	1.3249810577202614
7600	15654.16141664238	-8.259751498604654	7.702776762179222	4.492204376328264	1.3249810577202614
7700	15654.827660723859	-8.172087662005879	6.826138396191322	4.492204376328264	1.3249810577202614
7800	15654.912364600246	-8.197045906098204	7.075720837114677	4.492204376328264	1.3249810577202614
7900	15653.982556133416	-8.12763647941271	6.381626570259792	4.492204376328264	1.3249810577202614
8000	15654.86731305	-8.209154304745029	7.196804823583084	4.492204376328264	1.3249810577202614
