iteration	likelihood	prior	σ²	 m 	 α 
1	370.1790549690783	-8.797740384508904	1.4308673886115406	7.824288139516152	9.644695527140115
2	369.41886879910135	-9.07300944898317	1.3297247148018154	10.678121458068523	9.644695527140115
3	370.1321476282904	-9.301444972492531	1.4176744862476618	12.874526921716285	9.644695527140115
4	368.87290221769416	-8.185339467855638	1.571149768569726	1.559996593025275	9.644695527140115
5	368.5138107171654	-9.034063158329463	1.285000875319541	10.33338239101371	9.644695527140115
6	370.0877518104767	-9.152840757148159	1.459895415545643	11.346263838974542	9.644695527140115
7	370.58051447230054	-8.039131470021587	1.424485243475911	0.24458113977856644	9.644695527140115
8	370.3683553590245	-8.045822116809605	1.4761636133276792	0.2598092378069834	9.644695527140115
9	368.0769988216565	-8.091541763386003	1.3732115438816668	0.8199577730169495	9.644695527140115
10	368.58392143785983	-8.035336377256352	1.482924607719222	0.14819084788285256	9.644695527140115
11	366.5346579097823	-8.037617948400625	1.6421691279603334	0.011762039084448573	9.644695527140115
12	367.4045951291161	-8.0201368531212	1.4238359989318428	0.0552842153186829	9.644695527140115
13	365.19894250778754	-8.021179404992242	1.3805763983259873	0.10896933463494914	9.644695527140115
14	365.5785065648527	-8.023787285993457	1.4312780445317688	0.084346498441297	9.644695527140115
15	365.08678499596357	-8.02792273602781	1.3830389816662718	0.17394006165032563	9.644695527140115
16	362.9148040608042	-8.086075560711622	1.6171707141015874	0.5213365760531395	9.644695527140115
17	360.2977638726929	-8.042522974095409	1.5190823209356838	0.18389910305689472	9.644695527140115
18	359.54322930700675	-8.030061967891047	1.372085517119511	0.20628584482945234	9.644695527140115
19	359.5590645843266	-8.040612386087743	1.391718239394754	0.2921573045211802	9.644695527140115
20	359.9827977140898	-8.019085441792187	1.447822152640471	0.020783948319925565	9.644695527140115
21	359.9769951090048	-8.026605662048723	1.4730356633037687	0.07077264022199876	9.644695527140115
22	358.71760903351486	-8.057322853792177	1.6078539884491225	0.24312623251113097	9.644695527140115
23	372.0156683092354	-8.050575946682077	1.5386223345167491	0.24488881534248866	9.644695527140115
24	372.7518501724753	-8.030922562934373	1.3517315529068923	0.23524575947533685	9.644695527140115
25	372.6975906700828	-8.003492321202852	1.3074093129073656	0.0052655821597003055	9.644695527140115
26	372.31122446656184	-8.052140022091088	1.3720995302317514	0.42705237371766275	9.644695527140115
27	370.95191856692327	-8.094501569216549	1.432263921286209	0.7905034539178123	9.644695527140115
28	377.54345102702484	-8.027562251502523	1.4735551486611957	0.07981904940257067	9.644695527140115
29	377.3492167502156	-8.047610903499079	1.4297250226788893	0.3241356953504507	9.644695527140115
30	370.6777010098815	-8.071471127487294	1.4963004918567884	0.4961624660547058	9.644695527140115
31	378.00048937968404	-7.075948928294668	1.4083791856046193	0.11247651205049317	0.16108079547024387
32	378.46676887619105	-7.086985956994449	1.389333192519423	0.2418927921335028	0.16108079547024387
33	378.7045567175999	-7.105579948503022	1.4932604308175912	0.32390546892106103	0.16108079547024387
34	377.0352873985507	-7.1171721274093045	1.3467173258170446	0.5863703629844325	0.16108079547024387
35	377.12968017020904	-7.109423128792316	1.4982781841006987	0.3573195185308887	0.16108079547024387
36	377.57669850980403	-7.096327199174294	1.5002594806614653	0.22437892578990776	0.16108079547024387
37	378.3118463224478	-7.075991504264669	1.3993490893717049	0.12193236798342147	0.16108079547024387
38	378.3862869843229	-7.0785876008778335	1.3595774856085996	0.1876649378781795	0.16108079547024387
39	377.5386331345573	-7.060049035326748	1.3203443415690113	0.04151242640692089	0.16108079547024387
40	376.9857809154402	-7.079306445363427	1.5096346249074375	0.04479624343528781	0.16108079547024387
41	377.0828168256754	-7.108596835947914	1.3933459291084214	0.45398884507917475	0.16108079547024387
42	376.99304395949366	-7.112190172041504	1.429279290044321	0.45398884507917475	0.16108079547024387
43	378.4024002008169	-7.0857988220309505	1.411865722738183	0.20748891227978628	0.16108079547024387
44	379.1325183473969	-7.087529330400894	1.2954090035761328	0.34125071514127375	0.16108079547024387
45	380.0541566771633	-7.077841990009954	1.4008170363601642	0.1389692784478581	0.16108079547024387
46	379.97709964524364	-7.079603714136493	1.4184342776255503	0.1389692784478581	0.16108079547024387
47	379.1008029910085	-7.060521428091032	1.2873200298383818	0.0792606657804165	0.16108079547024387
48	377.4379193064855	-7.0871336799629185	1.2511054944658306	0.3815977198718475	0.16108079547024387
49	378.2777655897635	-7.111304236451186	1.4550900998540477	0.4193186793663225	0.16108079547024387
50	379.41738267230323	-7.075963085735015	1.4233048937385258	0.0976923783201341	0.16108079547024387
51	379.3367499993937	-7.096272999811878	1.443736280563417	0.28036013226386264	0.16108079547024387
52	376.6035607849052	-7.09293512580674	1.4103575405120372	0.28036013226386264	0.16108079547024387
53	374.4202752107602	-7.094005842323138	1.4762615197446238	0.22516331819524668	0.16108079547024387
54	380.81824604866654	-7.06631749930737	1.276733494621513	0.14780791316068034	0.16108079547024387
55	379.19421653388565	-7.122012034185412	1.4324641121410857	0.5490226444215178	0.16108079547024387
56	371.5995827532969	-7.0511514440374	1.1958722493710088	0.0770086057114827	0.16108079547024387
57	375.3728963711046	-12.090315635861646	1.3911475146697214	0.43336099100214925	50.001095063123316
58	374.63127835701647	-12.240246530909543	1.5147206620673006	1.8090967940835354	50.001095063123316
59	375.1408733961779	-8.224345246817077	1.3784891773118948	1.4073683859880335	10.380042115049571
60	374.7414524976884	-8.219281921842011	1.3278559275612416	1.4073683859880335	10.380042115049571
61	375.0450422266809	-8.110799092908893	1.3241967826473802	0.32619924157071867	10.380042115049571
62	375.49421505843486	-8.214232598716944	1.4286791396139003	1.2560519426846883	10.380042115049571
63	375.9742121406825	-8.158200883890526	1.4174059241657095	0.7070080098686841	10.380042115049571
64	355.4444610586095	-8.102967901225268	1.3938498615339792	0.1782342458478162	10.380042115049571
65	354.76486463646427	-8.165453520622288	1.3325588167175793	0.8643814846343955	10.380042115049571
66	356.30719717954213	-8.119457562312103	1.5093600515072487	0.22762066674286793	10.380042115049571
67	356.03395742254156	-8.1043628319134	1.4716130225537316	0.11442039170936423	10.380042115049571
68	354.8560955810878	-8.242812846964934	1.4003197427246594	1.5702138220537498	10.380042115049571
69	354.15655442213205	-8.272472128546328	1.6650245374478077	1.6021018431445329	10.380042115049571
70	356.69662363976994	-8.214693240292252	1.5538265934085538	1.1355109046430136	10.380042115049571
71	365.3086630244624	-8.191686200533569	1.412126856287654	1.0471402441770712	10.380042115049571
72	365.75707425420245	-8.14099014288302	1.4731016749686623	0.4792048489905665	10.380042115049571
73	364.30618542964	-8.22844363671383	1.5572693041238563	1.269572158143515	10.380042115049571
74	364.61442419403335	-8.22046049176276	1.4053348814314528	1.3416751313252353	10.380042115049571
75	365.33978848417894	-8.169831063949422	1.5326719126811041	0.708043821942186	10.380042115049571
76	364.6532752633271	-8.117690052669786	1.5820817774564961	0.13722384437041876	10.380042115049571
77	365.2004762090567	-8.12804393857594	1.3040972281876624	0.5187472527007956	10.380042115049571
78	359.50131113793725	-8.129328737878835	1.4010828965305242	0.43460957738686673	10.380042115049571
79	359.4373318283732	-8.091447101776073	1.3776336436032501	0.07924246928652325	10.380042115049571
80	367.8928814913327	-7.091262038669443	1.5816080935738484	0.24221876883499233	0.01124073446420737
81	368.83403064921356	-7.068802138882172	1.357009095701134	0.24221876883499233	0.01124073446420737
82	363.34735669084426	-7.065978736743929	1.3287750743186943	0.24221876883499233	0.01124073446420737
83	363.20747029970954	-7.270355929121889	1.5047025864841592	0.35951573628791555	1.7617881786254213
84	363.0861851642724	-7.272222144379147	1.5233647390567424	0.35951573628791555	1.7617881786254213
85	363.30858474138375	-7.264576592465023	1.4469092199154916	0.35951573628791555	1.7617881786254213
86	363.2938643232628	-7.264923138454608	1.4440140525298064	0.36587636356946135	1.7617881786254213
87	365.5719695937992	-7.254939160838429	1.3957876486550902	0.31426299128238844	1.7617881786254213
88	365.28780624363367	-7.30072648682265	1.5271549048428723	0.6407689949368154	1.7617881786254213
89	366.0771549401799	-7.27073186990177	1.452152436109697	0.41582529446119704	1.7617881786254213
90	365.2938331972626	-7.2671758324702385	1.416592061794388	0.41582529446119704	1.7617881786254213
91	364.7304095863306	-7.261348498467366	1.3583187217656545	0.41582529446119704	1.7617881786254213
92	365.2521287252289	-7.27481725002645	1.4352502377856784	0.473581294032013	1.7617881786254213
93	364.35344466222665	-7.2281096924236286	1.2956985553754927	0.14605740041397489	1.7617881786254213
94	368.54814804758547	-7.224534381199964	1.3036967967795299	0.10230604677329871	1.7617881786254213
95	376.2546076235807	-7.216249402759254	1.3117606231859904	0.011392435959726471	1.7617881786254213
96	383.66000351462804	-7.23440723640357	1.403464758087706	0.1012666375011835	1.7617881786254213
97	383.75563892526566	-7.228154541374754	1.3409378077995258	0.1012666375011835	1.7617881786254213
98	382.7025114338332	-7.221034040100306	1.3366962913776097	0.03430314117861984	1.7617881786254213
99	382.4364902386319	-7.224363122837566	1.3160505733394872	0.08823968658937029	1.7617881786254213
100	381.31884206801436	-7.25054000152828	1.3071016551943127	0.3589573916416843	1.7617881786254213
101	380.657290540609	-7.432804840668829	1.2663908139404818	0.3589573916416843	3.625147411284737
102	381.4159888771411	-7.4354529995781355	1.4852694049767285	0.16656038969851217	3.625147411284737
103	382.35911161512854	-7.415016442261429	1.3259310605729207	0.12153316093524998	3.625147411284737
104	382.35313428374434	-7.424844140820412	1.386269177980541	0.15947202911743855	3.625147411284737
105	381.8806223773759	-8.725011536592914	1.453766385121715	0.15947202911743855	16.559324161868588
106	379.97050512252815	-8.705626738508812	1.4061853928759842	0.0132050405221353	16.559324161868588
107	378.9703223393561	-8.734033726442613	1.4699230203225235	0.23353729241358154	16.559324161868588
108	378.54471480426935	-8.747639302469729	1.4774777113537083	0.3620383616535418	16.559324161868588
109	377.53986358269003	-8.758828596486053	1.2989408810162775	0.6524681321542067	16.559324161868588
110	379.31945289050583	-8.733061389821696	1.3977526559541706	0.2959842905727502	16.559324161868588
111	379.85979318600687	-8.707782427585833	1.3631196504978778	0.07782767367040776	16.559324161868588
112	379.24422771471166	-8.808642748280455	1.4654331375045357	0.9841173936099422	16.559324161868588
113	382.5931041404013	-8.703609443250313	1.3584233702125288	0.04079411060054331	16.559324161868588
114	382.5286577518032	-8.706074815467423	1.405426324426077	0.018444878558074147	16.559324161868588
115	384.0776464985905	-8.730100267390165	1.3950867686080637	0.26903895360348784	16.559324161868588
116	385.00654408490084	-8.74658220698913	1.4512435713154075	0.3777015468857766	16.559324161868588
117	386.106554416242	-8.720018206711178	1.364605310102869	0.19869980531881026	16.559324161868588
118	386.13919698023807	-8.704821118677868	1.3059600247632206	0.10537421032536563	16.559324161868588
119	378.85280813651696	-8.711816849883721	1.363776403259013	0.11751514388810128	16.559324161868588
